,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
0,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,California,13,29,PG,OKC,30.6,26540100
1,Malcolm Brogdon,https://www.basketball-reference.com/players/b/brogdma01.html,Georgia,5,25,SG,MIL,14.9,925000
2,Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html,North Carolina,9,28,C,MIA,22.6,22116750
3,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,California,12,28,PG,HOU,27.4,26540100
4,Álex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html,Spain,3,24,SG,OKC,10.1,5994764
5,Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,Texas,7,27,PF,TOT,11.8,1914544
6,Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html,New Zealand,8,24,C,OKC,16.5,3140517
7,Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,California,11,32,SG,SAC,8.9,12500000
8,Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,France,7,29,C,NOP,12.9,4600000
9,Cole Aldrich,https://www.basketball-reference.com/players/a/aldrico01.html,Minnesota,8,29,C,MIN,12.7,7643979
10,LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html,Texas,15,32,PF,SAS,18.6,20575005
11,Lavoy Allen,https://www.basketball-reference.com/players/a/allenla01.html,Pennsylvania,6,28,PF,IND,11.6,4000000
12,Tony Allen,https://www.basketball-reference.com/players/a/allento01.html,Illinois,14,35,SG,MEM,13.3,5505618
13,Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,Georgia,11,27,PF,POR,11.3,7680965
14,Chris Andersen,https://www.basketball-reference.com/players/a/anderch01.html,California,15,39,C,CLE,11.6,1551659
15,Alan Anderson,https://www.basketball-reference.com/players/a/anderal01.html,Minnesota,8,35,SF,LAC,5.0,1315448
16,Justin Anderson,https://www.basketball-reference.com/players/a/anderju01.html,Virginia,5,24,SF,TOT,13.9,1514160
17,Kyle Anderson,https://www.basketball-reference.com/players/a/anderky01.html,New Jersey,7,24,SF,SAS,12.5,1192080
18,Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,California,12,29,PF,HOU,13.5,18735364
19,Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,Greece,8,23,SF,MIL,26.1,2995421
20,Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html,New York,18,33,SF,NYK,17.9,24559380
21,Joel Anthony,https://www.basketball-reference.com/players/a/anthojo01.html,Canada,10,35,C,SAS,11.6,663810
22,Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html,Florida,17,32,SF,HOU,12.4,7806971
23,Darrell Arthur,https://www.basketball-reference.com/players/a/arthuda01.html,Texas,9,29,PF,DEN,12.8,8070175
24,Ömer Aşık,https://www.basketball-reference.com/players/a/asikom01.html,Turkey,8,31,C,NOP,9.8,9904494
25,D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,Louisiana,13,30,PG,ORL,11.0,7250000
26,Luke Babbitt,https://www.basketball-reference.com/players/b/babbilu01.html,Ohio,8,28,SF,MIA,8.3,1227000
27,Ron Baker,https://www.basketball-reference.com/players/b/bakerro01.html,Kansas,3,24,SG,NYK,7.5,543471
28,Wade Baldwin,https://www.basketball-reference.com/players/b/baldwwa01.html,New Jersey,3,21,PG,MEM,6.5,1793760
29,Leandro Barbosa,https://www.basketball-reference.com/players/b/barbole01.html,Brazil,14,35,SG,PHO,11.5,4000000
30,J.J. Barea,https://www.basketball-reference.com/players/b/bareajo01.html,Puerto Rico,14,33,PG,DAL,17.2,4096950
31,Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,Iowa,9,25,PF,DAL,16.3,22116750
