,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,15101625,19490625,14410581,15779912,5546160,16022500,17545000,17832627,10629213,11370786,26540100
1,2681880,4171200,4822800,3610080,5357280,5144280,3065040,2200920,5510640,5703600,925000
2,17718750,13041250,14410581,4796880,6053663,15506632,19450000,10986550,15719062,3272091,22116750
3,21000000,6061274,13758000,15202590,3638280,18091770,19536360,18668431,11440124,9500000,26540100
4,10500000,3615960,4574189,13125000,10310938,10045455,11000000,788872,20068563,981348,5994764
5,5400000,5800000,711517,1086240,14500000,270427,665000,2090880,14728844,1404600,1914544
6,412718,944520,297163,1372080,342666,7562500,804131,916099,915243,2279040,3140517
7,906480,974400,1015440,5844827,1959577,830000,7750000,7312500,1344120,8000000,12500000
8,4027320,4329360,1042440,2583360,83305,2286000,2445480,14128000,2184960,4300000,4600000
9,1803600,998398,125562,1300000,1467840,12372000,13500000,3060000,981084,1100600,7643979
10,14611570,16000000,1276320,18776860,770000,473604,3000000,3229050,7750000,19500000,20575005
11,1037280,1868141,4631400,2500000,2126520,10000000,3090000,4494382,981084,525093,4000000
12,4200000,4550000,2403120,4300000,11244000,3150000,3300000,3700000,3000000,3700000,5505618
13,105696,687456,1300000,855189,1229255,2755560,2947800,1399507,981084,5168539,7680965
14,102131,1219590,18388430,3650000,10000000,2403000,1069509,947907,16006000,7500000,1551659
15,9742500,13041250,2500000,2300000,3000000,4234000,4526000,916099,948163,1650000,1315448
16,4694041,427163,1081440,15779912,2563320,1463520,885120,8308500,4831461,5000000,1514160
17,2395200,11950400,4900000,825497,2225000,2244601,472427,1792560,981084,4000000,1192080
18,11096800,3100000,797581,16192080,4533300,18518574,8700000,22407474,409167,1015421,18735364
19,3100000,1219590,998398,5854000,2500000,3600000,3750000,3800000,5375000,1449000,2995421
20,1178348,1900200,1225200,2801198,1361400,19269307,7258960,7727280,1276061,1142879,24559380
21,1767600,4100000,14410581,1107572,1409040,6790640,3006217,3231683,1093680,8500000,663810
22,4100000,3000000,711517,1050480,17149243,1857500,8374646,8374646,8491500,1953960,7806971
23,3000000,687456,14653466,1306455,3300000,3236470,3500000,1267000,1873200,105888,8070175
24,412718,687456,3100000,2385480,17730694,1567500,1500000,1500000,22458000,22875000,9904494
25,251657,1280640,2032800,457588,6322320,1500000,1500000,1750000,3800000,2500000,7250000
26,1191240,3966207,977160,3132000,992680,1768800,1892280,4687000,1250000,161776,1227000
27,3672414,5600000,3240000,2112417,1223166,1675000,1229255,11862500,8579089,8193030,543471
28,1679733,687456,2208960,4553793,1123680,7600000,4493500,2923920,3457149,2814000,1793760
29,412718,4838880,2900000,6600000,1721000,4300000,10000000,3250000,8374646,11000000,4000000
30,4501200,3000000,1369920,1657500,2540400,9250000,2798040,788872,3000000,3000000,4096950
31,771331,973328,4260000,6527491,1645440,1906200,1229255,6450000,1828750,317232,22116750
32,744551,5544370,6100000,1600000,1675000,185588,358600,3270000,981084,1100000,6125000
33,744551,770610,1500000,4000000,4847586,4250000,550000,11295250,507336,845059,3533333
34,5117880,1830000,5176440,6292000,7100000,1352181,6000000,3135000,1448490,2500000,1551659
35,664209,5883600,926678,6864200,1815000,3000000,3135000,788872,1310286,4000000,20869566
36,744551,1345800,1910000,1118760,8500000,2155365,10850000,788872,11500000,1039298,9424084
37,664209,3100000,826269,2143080,1765000,3042280,3000000,4319280,3049920,3873398,6500000
38,5746000,4750000,2272860,4638600,188558,6262347,401170,4666667,3396250,3542500,15730338
39,5393300,13500000,5746000,1075440,4000000,1236720,473604,2750000,107676,3333333,22116750
40,744551,2636696,6448900,1547640,1352181,3377604,4133280,5324280,915243,3000000,1627320
41,4500000,10000000,1040640,3596000,7354500,3240000,5750000,788872,6900000,12235750,1403611
42,12500000,4250000,1993560,5250000,1196760,1352181,2227333,9000000,11765500,3000000,6333333
43,1986960,2470000,4314960,801361,2292600,9000000,1957000,2500000,3000000,6500000,1499760
44,6364400,7901040,1446720,6217617,4962240,12199968,281377,3049920,2077000,2000000,4276320
45,1330000,2440000,3354480,9000000,1156080,2798040,9000000,947907,2000000,5694674,1015696
46,412718,4991520,5000000,12100000,2380270,986000,4000000,4000000,4505280,306527,250000
47,664209,2678000,14983603,850000,4447792,4000000,3007920,1375604,777778,6333333,543471
48,7288165,1133040,9000000,4930000,3000000,6442083,1054000,2626473,2873750,3650000,6000000
49,2510000,1103225,11050000,3000000,5564767,1596360,4000000,5058198,35000,6500000,17000000
50,4665960,11260483,4250000,1033342,9000000,848266,7118502,14000000,5563920,3000000,3800000
51,2000000,12455000,2739669,10000000,13150000,12000000,1707720,3945000,915243,4000000,6191000
52,1053960,4125000,8513916,3240380,918000,3315000,1229225,2350820,29843,845059,14000000
53,6629891,1033930,2565000,2056968,4000000,1294920,13000000,15300000,3873398,2000000,3730653
54,11260483,533572,6294310,13520500,5900000,13500000,3630000,19067500,507336,2170465,11027027
55,4235220,15344000,2987000,15779912,1485000,16022500,1385280,2511432,2000000,13086957,600000
56,3750000,2535720,1212120,209592,1600000,1404960,15000000,4000000,2077000,3425510,2223600
57,2950000,1715040,1319651,1191180,11000000,1524480,17545000,4500000,12173913,12000000,9250000
58,412718,2750000,11593817,14858471,3000000,17059727,1630800,1186459,3278000,1499187,8269663
59,14248000,972720,14410581,2916120,1204560,3059000,16059854,3396250,12972973,2127840,7600000
60,1595400,711517,4000000,2717161,14400000,4710000,3243000,1210080,1448490,4775000,2700000
61,2750000,1200000,1141838,1107572,14500000,1000000,1069509,3500000,5000000,22192730,874636
62,241591,9075000,13757844,457588,1352181,1110120,3250000,30453805,13550000,7730337,934293
63,412718,1044120,2725920,1118520,1306920,854389,1193280,5000000,20644400,890693,4743000
64,564518,3750000,1834680,736420,1418160,6750000,2819044,1149000,7191011,8200000,543471
65,8287500,8218990,1045560,457588,15959099,3500000,3500000,2438760,2000000,2000000,2255644
66,8560000,3315000,107908,1100000,3703472,25244493,27849149,2202000,4702500,700000,3386598
67,971280,2172000,442114,4100000,4790000,854389,885120,8000000,1145685,117016,10154495
68,3240741,2471604,184157,2000000,1000000,2020200,2171640,1112880,44765,845059,17552209
69,810000,11250000,998398,23034375,2016692,8000000,8000000,6000000,283367,25000000,1589640
70,7438000,5850000,4000000,457588,762195,1020960,1097520,2790343,507336,5000000,7708427
71,2200000,1547760,797581,9780970,1229255,1229255,3250000,6791570,23500000,1252440,3678319
72,3000000,5450000,21262500,3945000,2200000,3250000,11046591,2653080,5000000,2658240,1015696
73,2030280,1103225,4010005,12526998,24806250,9780992,4590338,2557545,1200720,9213484,1296240
74,2333334,13320000,9249980,825497,780871,11227250,3500000,3180000,2548560,1499187,14200000
75,8800000,6150000,3630000,8219009,10561960,1352181,3090000,947907,3034356,15260000,4264057
76,5400000,10250000,2769300,7650000,2400000,544331,2277306,4000000,4500000,1499187,3183526
77,1439760,1091640,711517,6750000,13700000,3900000,4000000,14100538,2008748,1524000,3000000
78,1188000,3631449,7438018,855189,3250000,1352181,13604188,6344164,1448490,7402812,3551160
79,15101625,2350000,10000000,1009680,9000000,4000000,5930414,4250000,48028,2891760,12415000
80,6850000,6100000,6300000,4700000,11749832,1341960,7000000,1330000,2915908,947276,11200000
81,1071225,967320,1655760,1306455,473604,4000000,1240000,1129200,1458360,1242720,2941440
82,9150000,5750000,5050000,16300000,1352181,13107837,1300000,1900000,816482,13500000,1052342
83,2863920,3377160,1147533,1167000,377116,6000000,1082520,2585668,7097191,4088091,543471
84,158071,3500000,14724125,773500,1085400,1160000,1352181,8000001,2772480,2399040,1015696
85,6854546,1184400,700000,11850000,4300000,1035960,2319344,3000000,816482,3000000,12500000
86,2625698,7920000,11350000,1255440,1352181,1352181,2929332,4916974,1189200,3398280,247991
87,5800000,1285200,1173480,1766280,17300000,1455960,7305786,5225000,2442455,4300000,5229454
88,899880,1219590,5757818,1181803,1254480,3272997,85439,2162419,3911981,13000000,3750000
89,2501070,8947543,2074302,1181803,854389,6611571,3090042,788872,2300040,1000000,26540100
90,20279,10250000,6200000,1867742,12600000,1223166,473604,2180000,1063384,947276,874636
91,1817141,10590500,1034760,1266120,2130482,3341558,3880800,1208400,4000000,61776,79922
92,7200000,5800000,6350000,6250000,6500000,3627720,5000000,9887642,14598888,845059,16957900
93,7300000,6373900,3630480,3883800,1898760,5000000,1198680,3700748,6757913,3036927,1015696
94,8171103,427163,3500000,48559,643551,1120440,600491,3153860,25000,5013559,18500000
